"","condition","cor","basis"
"1",0,0.46,"GE"
"2",1,0.19,"GE"
"3",2,0.46,"GE"
"4",3,0.2,"GE"
"5",4,0.03,"GE"
"6",0,0.38,"GEB"
"7",1,0.13,"GEB"
"8",2,0.4,"GEB"
"9",3,0.12,"GEB"
"10",4,0.03,"GEB"
"11",0,0.32,"GEMBC"
"12",1,0.17,"GEMBC"
"13",2,0.42,"GEMBC"
"14",3,0.12,"GEMBC"
"15",4,0.02,"GEMBC"
"16",0,0.37,"GETM"
"17",1,0.14,"GETM"
"18",2,0.41,"GETM"
"19",3,0.12,"GETM"
"20",4,0.02,"GETM"
"21",0,0.32,"GETMB"
"22",1,0.17,"GETMB"
"23",2,0.42,"GETMB"
"24",3,0.12,"GETMB"
"25",4,0.02,"GETMB"
"26",0,0.32,"GETMC"
"27",1,0.17,"GETMC"
"28",2,0.42,"GETMC"
"29",3,0.12,"GETMC"
"30",4,0.02,"GETMC"
"31",0,0.3,"GM"
"32",1,0.24,"GM"
"33",2,0.46,"GM"
"34",3,0.16,"GM"
"35",4,0.01,"GM"
"36",0,0.37,"GMBC"
"37",1,0.14,"GMBC"
"38",2,0.41,"GMBC"
"39",3,0.12,"GMBC"
"40",4,0.02,"GMBC"
"41",0,0.38,"GMC"
"42",1,0.13,"GMC"
"43",2,0.4,"GMC"
"44",3,0.12,"GMC"
"45",4,0.03,"GMC"
"46",0,0.37,"GTBC"
"47",1,0.14,"GTBC"
"48",2,0.4,"GTBC"
"49",3,0.12,"GTBC"
"50",4,0.02,"GTBC"
"51",0,0.37,"GTMC"
"52",1,0.14,"GTMC"
"53",2,0.41,"GTMC"
"54",3,0.12,"GTMC"
"55",4,0.02,"GTMC"
"56",0,0.39,"HB"
"57",1,0.27,"HB"
"58",2,0.41,"HB"
"59",3,0.13,"HB"
"60",4,0.13,"HB"
"61",0,0.52,"HGB"
"62",1,0.13,"HGB"
"63",2,0.4,"HGB"
"64",3,0.25,"HGB"
"65",4,0.11,"HGB"
"66",0,0.53,"HGET"
"67",1,0.14,"HGET"
"68",2,0.41,"HGET"
"69",3,0.34,"HGET"
"70",4,0.17,"HGET"
"71",0,0.53,"HGTB"
"72",1,0.14,"HGTB"
"73",2,0.41,"HGTB"
"74",3,0.34,"HGTB"
"75",4,0.17,"HGTB"
